月份,策略,贵州茅台,中国平安,长江电力,中国中免,恒瑞医药
2010-03,GMV,0.18147,-0.001471,0.804964,-0.026558,0.041595
2010-03,MV,0.048088,-0.044453,0.819711,0.141593,0.035061
2010-03,Utility,0.469464,0.091335,0.773123,-0.389625,0.055703
2010-04,GMV,0.344907,-0.060282,0.496105,0.115951,0.103318
2010-04,MV,0.25794,-0.057984,0.534498,0.114747,0.150799
2010-04,Utility,-1.929491,-0.000196,1.500172,0.084462,1.345053
2010-05,GMV,0.34908,-0.145153,0.552737,0.037898,0.205438
2010-05,MV,0.275064,-0.127737,0.550194,0.023687,0.278792
2010-05,Utility,-0.877389,0.143441,0.5106,-0.197587,1.420935
2010-06,GMV,0.318054,-0.057463,0.578185,0.002521,0.158703
2010-06,MV,0.281084,-0.085468,0.633235,0.048627,0.122522
2010-06,Utility,-0.006967,-0.303677,1.062163,0.407871,-0.159389
2010-07,GMV,0.186989,0.186658,0.62814,-0.094128,0.092341
2010-07,MV,0.373157,0.102755,0.473713,0.07145,-0.021075
2010-07,Utility,1.292844,-0.311735,-0.289173,0.889426,-0.581361
2010-08,GMV,0.001415,0.932415,0.06002,-0.01528,0.02143
2010-08,MV,0.318153,0.768061,-0.148123,0.172371,-0.110462
2010-08,Utility,1.650231,0.076851,-1.023489,0.961556,-0.665149
2010-09,GMV,-0.009576,0.298739,0.608787,0.018237,0.083812
2010-09,MV,0.116697,0.530104,0.067988,0.107018,0.178193
2010-09,Utility,1.066099,2.269653,-3.998083,0.774527,0.887805
2010-10,GMV,0.110051,0.059877,0.569073,0.075663,0.185337
2010-10,MV,0.122548,0.221901,0.407974,0.051057,0.19652
2010-10,Utility,0.197531,1.194003,-0.558582,-0.09657,0.263618
2010-11,GMV,0.146179,0.069206,0.595632,-0.0109,0.199882
2010-11,MV,0.191502,0.240384,0.204894,0.051495,0.311725
2010-11,Utility,0.283018,0.58603,-0.584094,0.177486,0.53756
2010-12,GMV,0.076376,0.02443,0.753457,-0.085698,0.231435
2010-12,MV,0.093078,-0.138667,0.693241,-0.015785,0.368133
2010-12,Utility,0.147512,-0.670247,0.496981,0.212081,0.813673
2011-01,GMV,0.113081,-0.08133,0.966664,-0.102518,0.104104
2011-01,MV,-0.003161,0.368885,0.419371,-0.072327,0.287231
2011-01,Utility,0.413443,-1.24466,2.380833,-0.180531,-0.369085
2011-02,GMV,0.223999,-0.157372,1.005256,-0.140006,0.068122
2011-02,MV,0.335954,0.448307,0.202893,-0.100872,0.113718
2011-02,Utility,-0.08727,-1.841348,3.236075,-0.248811,-0.058646
2011-03,GMV,0.163824,0.011376,0.705259,-0.043288,0.162828
2011-03,MV,0.071866,0.190438,0.371955,0.006449,0.359293
2011-03,Utility,0.438271,-0.523027,1.699997,-0.191727,-0.423514
2011-04,GMV,0.278342,0.179746,0.358684,-0.052729,0.235957
2011-04,MV,0.279071,0.183785,0.368693,-0.053646,0.222097
2011-04,Utility,0.308381,0.346033,0.770771,-0.0905,-0.334685
2011-05,GMV,0.307274,0.324161,0.204679,-0.049238,0.213124
2011-05,MV,0.106085,0.267332,0.280036,0.064101,0.282446
2011-05,Utility,1.584284,0.684874,-0.273637,-0.768636,-0.226884
2011-06,GMV,0.274792,0.244798,0.416942,-0.106381,0.169848
2011-06,MV,0.143666,0.302367,0.429707,-0.029629,0.153889
2011-06,Utility,2.447069,-0.7089,0.20547,-1.377873,0.434234
2011-07,GMV,0.293302,0.221989,0.581488,-0.32129,0.224511
2011-07,MV,0.390885,0.190761,0.445234,-0.26702,0.24014
2011-07,Utility,2.46829,-0.474046,-2.455423,0.888317,0.572862
2011-08,GMV,0.390727,-0.134471,0.715606,-0.031416,0.059555
2011-08,MV,0.5058,-0.087804,0.402542,0.041645,0.137816
2011-08,Utility,2.155639,0.581278,-4.085951,1.089151,1.259883
2011-09,GMV,0.322964,-0.091797,0.573465,-0.008323,0.203691
2011-09,MV,0.178064,0.117091,0.489916,-0.009191,0.224121
2011-09,Utility,1.242443,-1.41732,1.103636,-0.002812,0.074053
2011-10,GMV,0.237216,-0.201721,0.533919,0.07718,0.353405
2011-10,MV,0.210526,-0.17091,0.308227,0.108426,0.54373
2011-10,Utility,0.413283,-0.404971,2.022731,-0.128941,-0.902102
2011-11,GMV,0.260058,-0.263124,0.540863,0.061483,0.40072
2011-11,MV,0.122892,0.092369,0.628765,-0.062213,0.218186
2011-11,Utility,0.532134,-0.968259,0.366506,0.306837,0.762781
2011-12,GMV,0.262104,-0.10061,0.628509,0.011006,0.198991
2011-12,MV,0.302425,0.220973,0.401631,0.099572,-0.0246
2011-12,Utility,0.233014,-0.332623,0.792195,-0.052891,0.360305
2012-01,GMV,0.153472,-0.060324,0.932512,-0.122023,0.096362
2012-01,MV,0.229232,-0.172144,0.80346,-0.127588,0.267041
2012-01,Utility,-0.162871,0.406591,1.47138,-0.098783,-0.616318
2012-02,GMV,0.064104,-0.018757,0.940579,-0.010305,0.024378
2012-02,MV,0.036936,-0.087705,0.906277,-0.027666,0.172157
2012-02,Utility,0.3053,0.593361,1.24511,0.14383,-1.287601
2012-03,GMV,0.134994,-0.086761,0.929548,0.012351,0.009869
2012-03,MV,0.094911,-0.077014,0.931134,-0.033294,0.084263
2012-03,Utility,0.485338,-0.171958,0.91568,0.411308,-0.640368
2012-04,GMV,0.155602,-0.049615,0.933181,-0.028028,-0.011141
2012-04,MV,0.265188,-0.069691,0.82722,0.114391,-0.137108
2012-04,Utility,0.628493,-0.136247,0.475931,0.586547,-0.554724
2012-05,GMV,0.084513,-0.068055,0.911645,0.039015,0.032882
2012-05,MV,0.197193,-0.009062,0.823185,-0.072685,0.061369
2012-05,Utility,0.872259,0.34436,0.293226,-0.741874,0.232029
2012-06,GMV,0.017245,-0.08106,0.768487,0.150152,0.145177
2012-06,MV,0.086773,-0.022416,0.600493,0.024125,0.311025
2012-06,Utility,0.609076,0.418122,-0.661491,-0.922591,1.556884
2012-07,GMV,-0.043973,-0.09988,0.892576,0.042489,0.208789
2012-07,MV,0.199621,-0.049659,0.435417,0.020068,0.394553
2012-07,Utility,0.710147,0.055597,-0.5227,-0.026921,0.783877
2012-08,GMV,0.002899,-0.000736,0.886663,-0.012595,0.123769
2012-08,MV,0.083692,0.177611,0.767357,-0.008195,-0.020465
2012-08,Utility,-0.589234,-1.307859,1.761072,-0.04485,1.180871
2012-09,GMV,0.024356,0.013215,0.723856,0.087177,0.151397
2012-09,MV,0.004406,0.058604,0.721587,0.139599,0.075804
2012-09,Utility,0.185548,-0.35353,0.742187,-0.336394,0.762189
2012-10,GMV,-0.006723,-0.009003,0.719708,0.128401,0.167617
2012-10,MV,-0.009396,0.002016,0.723832,0.123993,0.159555
2012-10,Utility,0.129597,-0.571021,0.509374,0.35322,0.57883
2012-11,GMV,0.078643,-0.072055,0.683643,0.066076,0.243694
2012-11,MV,0.094707,0.137408,0.193035,0.11908,0.455769
2012-11,Utility,0.011525,-0.947214,2.733453,-0.155383,-0.642381
2012-12,GMV,0.091657,-0.158753,0.898205,0.020184,0.148707
2012-12,MV,0.253111,-0.160619,0.501218,0.135125,0.271164
2012-12,Utility,-0.812435,-0.148306,3.121201,-0.623451,-0.53701
2013-01,GMV,0.160902,-0.016705,0.709781,0.017316,0.128705
2013-01,MV,0.199216,-0.059913,0.693738,0.056608,0.110351
2013-01,Utility,-0.902687,1.182755,1.155154,-1.073424,0.638202
2013-02,GMV,0.198134,0.062776,0.366272,0.1574,0.215418
2013-02,MV,0.167606,0.069493,0.361156,0.174904,0.226841
2013-02,Utility,-0.541304,0.225471,0.242349,0.581379,0.492104
2013-03,GMV,0.249352,0.06298,0.345571,0.040178,0.301919
2013-03,MV,0.257652,0.068184,0.341938,0.033381,0.298845
2013-03,Utility,-1.187124,-0.837586,0.974302,1.216444,0.833964
2013-04,GMV,0.242977,-0.012341,0.575887,-0.061866,0.255343
2013-04,MV,0.245576,-0.033814,0.57558,-0.03847,0.251128
2013-04,Utility,0.378255,-1.130063,0.559878,1.155967,0.035963
2013-05,GMV,0.164721,0.104381,0.539026,-0.047936,0.239807
2013-05,MV,0.170459,0.089437,0.547371,-0.038916,0.231649
2013-05,Utility,0.805182,-1.563715,1.47049,0.958834,-0.67079
2013-06,GMV,0.195828,-0.033349,0.561645,0.051735,0.224141
2013-06,MV,0.116745,0.039016,0.592454,0.028935,0.22285
2013-06,Utility,1.568513,-1.28942,0.026875,0.447476,0.246556
2013-07,GMV,0.276003,0.011275,0.458168,0.172745,0.081808
2013-07,MV,0.279358,0.026511,0.451208,0.17054,0.072384
2013-07,Utility,0.01207,-1.18732,1.005758,0.346237,0.823256
2013-08,GMV,0.145986,0.054938,0.572068,0.177748,0.04926
2013-08,MV,0.121419,0.043882,0.57871,0.204761,0.051229
2013-08,Utility,-1.336226,-0.612091,0.972795,1.807439,0.168083
2013-09,GMV,0.066957,-0.064709,0.796975,0.079941,0.120835
2013-09,MV,0.000678,0.011004,0.712806,0.136896,0.138616
2013-09,Utility,-1.328035,1.528834,-0.974547,1.278683,0.495065
2013-10,GMV,0.101267,-0.090295,0.811671,0.072101,0.105256
2013-10,MV,0.050266,-0.003104,0.762458,0.087008,0.103372
2013-10,Utility,-0.956677,1.718385,-0.209197,0.381319,0.066169
2013-11,GMV,0.211018,-0.179189,0.807327,0.047616,0.113228
2013-11,MV,0.176923,0.101568,0.482708,0.013725,0.225076
2013-11,Utility,0.053302,1.119502,-0.694253,-0.109154,0.630603
2013-12,GMV,0.286135,-0.129903,0.709122,-0.023558,0.158204
2013-12,MV,0.232237,-0.01678,0.614027,-0.079182,0.249698
2013-12,Utility,-0.384335,1.277294,-0.473814,-0.715494,1.29635
2014-01,GMV,0.084412,-0.002329,0.733008,0.008796,0.176113
2014-01,MV,0.110375,0.046514,0.534804,0.014347,0.29396
2014-01,Utility,0.218726,0.250349,-0.292357,0.037511,0.785772
2014-02,GMV,0.033278,0.016629,0.770455,0.033806,0.145833
2014-02,MV,0.247453,-0.091514,0.459119,0.178865,0.206077
2014-02,Utility,0.760812,-0.350722,-0.287124,0.526557,0.350477
2014-03,GMV,0.000132,-0.005208,0.844304,0.098693,0.062078
2014-03,MV,0.103173,-0.045668,0.838269,0.0803,0.023926
2014-03,Utility,0.92998,-0.37032,0.789843,-0.067287,-0.282215
2014-04,GMV,-0.046423,-0.019259,0.789934,0.216182,0.059566
2014-04,MV,0.033622,0.067874,0.764586,0.099406,0.034512
2014-04,Utility,0.632736,0.720046,0.574856,-0.774629,-0.153008
2014-05,GMV,0.007959,0.003372,0.708154,0.14718,0.133334
2014-05,MV,0.033564,-0.144209,0.652492,0.372207,0.085946
2014-05,Utility,-0.247013,1.472977,1.262435,-2.093618,0.605219
2014-06,GMV,0.053945,0.148893,0.593694,0.154412,0.049056
2014-06,MV,0.166602,0.155033,0.531344,0.235444,-0.088424
2014-06,Utility,-0.504347,0.118464,0.902676,-0.247159,0.730366
2014-07,GMV,0.089076,0.25555,0.299542,0.227813,0.12802
2014-07,MV,0.094432,0.251238,0.309701,0.225301,0.119327
2014-07,Utility,0.885208,-0.385361,1.809576,-0.145438,-1.163985
2014-08,GMV,0.187983,0.275675,0.14081,0.072877,0.322655
2014-08,MV,0.214375,0.192807,0.272526,0.101327,0.218966
2014-08,Utility,0.67355,-1.248984,2.564207,0.596312,-1.585086
2014-09,GMV,0.365177,0.039211,0.173729,0.09972,0.322163
2014-09,MV,0.330689,0.016627,0.216645,0.104041,0.331999
2014-09,Utility,-1.269826,-1.031497,2.20829,0.304579,0.788454
2014-10,GMV,0.4507,0.157941,0.043139,0.117982,0.230237
2014-10,MV,0.368831,0.04071,0.161934,0.13661,0.291916
2014-10,Utility,-0.789656,-1.618176,1.842936,0.400199,1.164696
2014-11,GMV,0.205459,0.109989,0.229228,0.193943,0.261381
2014-11,MV,0.185298,0.117056,0.239875,0.197019,0.260752
2014-11,Utility,-1.514605,0.71292,1.13756,0.456345,0.20778
2014-12,GMV,0.111677,0.030528,0.183944,0.182784,0.491068
2014-12,MV,0.124876,0.211315,0.238377,0.183218,0.242214
2014-12,Utility,0.166154,0.7767,0.40861,0.184575,-0.536039
2015-01,GMV,0.087667,-0.002467,0.204638,0.09777,0.612392
2015-01,MV,-0.085873,0.261013,0.155144,0.122203,0.547513
2015-01,Utility,-0.298282,0.583506,0.094565,0.152109,0.468102
2015-02,GMV,0.121192,0.012273,0.179405,0.048193,0.638937
2015-02,MV,0.025547,0.035839,0.157579,0.12486,0.656175
2015-02,Utility,-0.414009,0.14414,0.057275,0.4772,0.735394
2015-03,GMV,0.282334,-0.223098,0.308672,0.221555,0.410536
2015-03,MV,0.33265,-0.24653,0.402308,0.134141,0.377431
2015-03,Utility,0.078347,-0.1281,-0.070938,0.575943,0.544748
2015-04,GMV,0.019027,-0.049385,0.10334,0.820598,0.10642
2015-04,MV,0.058222,-0.148713,0.376949,0.313384,0.400159
2015-04,Utility,0.156229,-0.397084,1.061108,-0.954906,1.134653
2015-05,GMV,0.229927,0.057598,0.226316,0.0,0.48616
2015-05,MV,0.0346,0.577407,0.190021,0.0,0.197972
2015-05,Utility,0.599814,-0.926756,0.295045,0.0,1.031897
2015-06,GMV,0.061012,-0.130268,0.538185,0.327349,0.203723
2015-06,MV,-0.046012,0.260298,0.363798,0.209624,0.212291
2015-06,Utility,0.787316,-2.780779,1.721628,1.126264,0.145571
2015-07,GMV,0.030193,-0.003666,0.928862,0.078936,-0.034325
2015-07,MV,0.195557,0.270809,0.624415,-0.07206,-0.018721
2015-07,Utility,-0.325417,-0.593919,1.583567,0.40365,-0.067882
2015-08,GMV,0.0,-0.0,1.0,-0.0,-0.0
2015-08,MV,0.119777,0.255034,0.820395,0.093188,-0.288394
2015-08,Utility,-0.216819,-0.46166,1.325119,-0.168688,0.522047
2015-09,GMV,0.804957,0.11141,0.0,-0.002347,0.08598
2015-09,MV,0.832618,-0.14636,-0.0,0.08024,0.233502
2015-09,Utility,0.883258,-0.618272,-0.0,0.231436,0.503577
2015-10,GMV,0.671828,0.099065,-0.0,0.020093,0.209014
2015-10,MV,0.717353,-0.065649,0.0,0.227936,0.12036
2015-10,Utility,0.504094,0.70595,-0.0,-0.745703,0.535659
2015-11,GMV,0.315206,0.079697,0.465108,0.042733,0.097256
2015-11,MV,0.339912,0.21639,0.361036,-0.024292,0.106954
2015-11,Utility,0.525294,1.242093,-0.419892,-0.527225,0.179729
2015-12,GMV,0.15686,0.096867,0.270695,0.119191,0.356387
2015-12,MV,0.296354,0.11291,0.140284,0.147039,0.303413
2015-12,Utility,1.028434,0.197107,-0.544131,0.293192,0.025398
2016-01,GMV,-0.018682,0.036505,0.566993,-0.102351,0.517535
2016-01,MV,-0.109997,0.099005,0.535833,-0.084215,0.559374
2016-01,Utility,1.064846,-0.705122,0.936741,-0.317551,0.021086
2016-02,GMV,-0.006978,0.010069,1.061003,-0.267509,0.203415
2016-02,MV,-0.12374,0.047156,1.120573,-0.233832,0.189843
2016-02,Utility,2.60882,-0.820787,-0.27354,-1.021959,0.507466
2016-03,GMV,0.103439,0.005579,0.831663,-0.24083,0.300149
2016-03,MV,0.007826,0.047027,0.878559,-0.20411,0.270697
2016-03,Utility,1.900018,-0.773226,-0.049526,-0.930802,0.853536
2016-04,GMV,0.19063,0.004118,0.705914,-0.103434,0.202773
2016-04,MV,0.147033,-0.012518,0.716896,-0.083751,0.23234
2016-04,Utility,1.401882,0.46632,0.400804,-0.650304,-0.618702
2016-05,GMV,0.129542,0.138295,0.561014,0.051398,0.119751
2016-05,MV,0.121254,0.133214,0.557829,0.056171,0.131533
2016-05,Utility,1.741927,1.126735,1.180573,-0.877126,-2.172108
